Название,Компания,Требования,Обязаности,Зарплата,Опыт работы,Ссылка
Специалист по информационной безопасности,В/ч 2320,Наличие высшего технического образования. Возможно трудоустройство последнего курса ВУЗ.,Государственная служба по контракту. Участвовать в определении потребности в средствах технической защиты информации,75000 - 110000 RUR,Нет опыта,https://hh.ru/vacancy/113141731
DevOps-инженер,ДЖИ БИ СИ ТИМ,"Понимание принципов работы баз данных, знание PostgreSQL, Redis. Опыт работы с Ubuntu. Опыт работы с Docker, Kubernetes","Развертывание и администрирование систем BPMSoft на различных платформах. Участие в проектах внедрения BPMSoft. Разработка, адаптация и настройка функционала BPMSoft.",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/117986482
DevOps Junior,PravoTech,"Базовые навыки системного администрирования. Знание Linux, Windows. Опыт работы с MSSQL, PostgreSQL, docker, стэк TCP\IP, GIT, Bash, PowerShell. ",Устанавливать и обновлять продукты компании на оборудовании клиентов. Готовить дистрибутивы продуктов компании для клиентов,130000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117798935
Ведущий сетевой инженер / эксперт по сетевым технологиям,Кью-центр,"Знает TCP/IP, основные стандарты, базовые сетевые сервисы и протоколы, сетевую модель ISO OSI",Проводить обследования вычислительной инфраструктуры компании и заказчиков. Проводить анализ технической документации тендерных процедур,460000 RUR,Более 6 лет,https://hh.ru/vacancy/118205715
Руководитель службы информационной безопасности,РВ ГРУПП,Нам нужен сотрудник с опытом работы и экспертным знанием требований нормативных актов в области информационной безопасности,Руководство командой специалистов по информационной безопасности. Подбор специалистов в области ИБ. Организация проведения аудита ИБ в сторонних компаниях. ,300000 -  RUR,Более 6 лет,https://hh.ru/vacancy/118456404
Junior DevOps-инженер,KTS,"Опыт поддержки веб-приложений. Опыт с docker, Kubernetes. Настройка любого CI/CD для приложения. Настройка мониторинга (Prometheus / VictoriaMetrics).",Настройка гитлаб CI-скриптов для автоматической раскатки проектов заказчиков. Поддержка инфраструктуры внешних заказчиков с помощью ansible и Terraform. ,160000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117638465
Стажер в отдел информационной безопасности ВТБ,Changellenge,"Получил высшее образование или обучаешься в университете по специальности «Информационная безопасность» или техническому, математическому, IT-направлению","Будешь участвовать в проектах IT-производства, анализировать уязвимости информационных систем и изучать документацию",65000 - 65000 RUR,Нет опыта,https://hh.ru/vacancy/118266817
Junior DevOps-инженер,Smartway,"Опыт администрирования Linux, включая работу с CLI, настройку, мониторинг и обслуживание системы.",,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/118206702
Руководитель информационной безопасности (CISO),IT-hunters,"Опыт в ИБ от 5 лет, включая руководство. Глубокие знания сетевой безопасности, пентестов, DevSecOps, SIEM и облачных платформ. ",Разработка и внедрение стратегии ИБ для всех уровней инфраструктуры и продукта,800000 - 1000000 RUR,Более 6 лет,https://hh.ru/vacancy/117585681
DevOps инженер junior,Открытый код,"Ansible playbook. Nginx. Иметь представление о протоколах HTTP, NFS, WebDav, OpenID Connect, Kafka.",Сбор логов. Сбор конфигов. Выполнение SQL запросов. Диагностика неполадок (на серверах и у пользователей). Проверка работы интеграций,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/118424273
Junior Devops engineer,АТОН,Базовый опыт работы с контейнеризацией (Docker). Начальные знания систем CI/CD (GitLab CI),"Изучение новых инструментов для архитектуры, их последующее внедрение. Настройка и поддержка CI/CD pipelines для проектов",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/118350745
Junior\Middle DevOps,СберМаркетинг,"Опыт работы с системами, развернутыми в облаке, от 1,5 лет","Разрабатывать скрипты и код-ревью, автоматизировать запуски автотестов",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/118423624
Инженер по информационной безопасности,Xello,Опыт установки и администрирования серверных ОС Linux (Debian-like). Высшее образование в области информационных технологий или смежных дисциплин. ,"Управление техническими аспектами продукта компании: внедрение, сопровождение и т.д.",Не указана,Нет опыта,https://hh.ru/vacancy/118251741
Техник по защите информации,"Останкино, Телевизионный технический центр","Высшее образование (сфера ИБ). Практический опыт работы в области информационной безопасности. Английский – технический, чтение профессиональной литературы","Администрирование средств защиты информации (DLP, SIEM, SOAR, NAD, WAF, АВЗ, сканер защищенности), анализ лог-файлов систем, анализ сетевого трафика. ",190000 RUR,Нет опыта,https://hh.ru/vacancy/118283497
Дата-инженер / Data-engineer,Kuppersberg,Высшее образование. Желательно дополнительное образование по соответствующему профилю. Опыт в аналогичной должности более 3 лет,"Интеграция данных в DWH при помощи Python/API из различных источников (1С, CRM, маркетплейсы)",200000 - 260000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/118342268
Специалист по экологической безопасности,Группа ВИС,знание законодательных и нормативно-правовых актов в области охраны окружающей. среды,"Поддержка руководства на всех этапах проекта. Участие в реализации крупных проектов федерального значения. - разработка, актуализация документов по вопросам экологической безопасности. - ",150000 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/118441584
Начальник IT,Группа Гута,"Знание отельных систем: Fidelio, Vision, Elsafe",,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/118122758
DevOps инженер (junior / middle),Оператор Газпром ИД,"Опыт работы на аналогичной должности от 1 года. Опыт работы с Kubernetes, Docker, Prometheus или аналогами","Построением и совершенствованием CI/CD для сервисов dev, stage и prod контуров",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/118416666
Начальник отдела информационной безопасности,"Содружество, Группа компаний",Высшее техническое образование по направлению «Информационная безопасность»,Разработка и актуализация Стратегии информационной безопасности (ИБ) в соответствии с целями компании. Проактивное противодействие угрозам информационной безопасности,Не указана,Более 6 лет,https://hh.ru/vacancy/118458687
Сетевой инженер,RUTUBE,"Понимание сетевых протоколов (стек TCP/IP, DHCP, DNS, BGP) и принципов их работы","Эксплуатация сети компании (маршрутизаторы, коммутаторы), построенной на оборудовании Cisco, Huawei, H3C, других производителей",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/117554942
Инженер,Инфосэл,"Знание аппаратной части серверов, их компонентов (процессор, материнская плата, сетевой адаптер и пр.). Технический английский - возможность чтения технической документации. ","Мониторинг работы оборудования и инфраструктурных систем заказчиков, оповещение ответственных специалистов о событиях",100000 - 150000 RUR,Нет опыта,https://hh.ru/vacancy/118291279
Младший специалист по мониторингу операций юридических лиц (AML),Т-Банк,Рассматриваем кандидатов без опыта с образованием в сфере экономической безопасности,Анализировать клиентские операции с целью выявления и пресечения сомнительных схем. Осуществлять комплексную проверку деятельности юридических лиц,93000 -  RUR,Нет опыта,https://hh.ru/vacancy/117913026
Младший аналитик (группа экономической безопасности),АТОН,Высшее или неоконченное высшее профессиональное образование (обязательно экономическая безопасность). Желание развиваться и обучаться в области анализа экономических данных и рисков.,"Проведение анализа и оценки экономических рисков в компании. Мониторинг и прогнозирование изменений в законодательстве, влияющих на деятельность компании. ",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/118302213
Дежурный оператор ЦОД,Атомдата,Опыт работы на похожей должности или в сфере телекоммуникаций не менее одного года. Опыт монтажа сетевого и серверного оборудования. ,Обслуживание серверного и телекоммуникационного оборудования по заявкам клиентов. Сопровождение представителей клиентов по территории ЦОД,100000 - 120000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117750055
Младший специалист по информационной безопасности,Иви,Высшее техническое образование по специальности ИБ или ИТ. Возможность работать полный рабочий день,Участие в процессе выдачи и отзыва доступов к информационным системам,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/118316999
Специалист по защите информации,ФГБУ НИЦИ МИД России,Высшее образование по профилю ИТ или ИБ. Опыт работы с SIEM. Понимание основных векторов атак на инфраструктуру,Мониторинг и анализ событий информационной безопасности от различных источников в SIEM системе,150000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/118105784
Инженер,Первый канал,"Образование: высшее техническое, профильное. Отличное знание ОС Windows 10/11 и MacOS 10",Настройка и ведение видеоконференций. Демонстрация материалов различного формата для локальных и удаленных участников конференций. Обслуживание пользователей компьютерной техники.,140000 - 140000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/118119135
DevOps-инженер,AlfaBit,"Общий опыт в роли DevOps от 3-х лет. Знание Linux на уровне администратора. Глубокое понимание Docker, nginx, Kubernetes. ","Участием в развитии практик DevOps в команде. Обеспечением CI/CD процессов (разработкой pipeline, разворачиванием сред)",200000 - 400000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/117021080
Information Security Specialist/ Специалист по информационной безопасности,Лепёхина Лилия Миниахматовна,Что хотим видеть в тебе: Опыт работы в области системного администрирования / информационной безопасности от 2-х лет,Разработка и внедрение безопасных и эффективных стратегий развития ИТ-инфраструктуры с учетом наших потребностей и требований клиентов,6500 - 7000 EUR,От 3 до 6 лет,https://hh.ru/vacancy/117741150
Системный администратор Windows,ФИНТЕХ,Высшее образование в области информационных технологий или техническое. Опыт администрирования систем на базе технологий Microsoft,"Федеральный центр обработки данных Пограничной службы ФСБ России. Системы защиты информации для программно-технических комплексов, обеспечивающих технический контроль государственной границы. ",140000 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/117412330
Специалист по информационной безопасности,Почта Банк,"Высшее или незаконченное высшее образование по направлениям: информационная безопасность, информационные технологии",Регистрация и обработка инцидентов ИБ. Расследование инцидентов ИБ. Реагирование на развивающиеся кибератаки. Мониторинг событий информационной безопасности.,Не указана,Нет опыта,https://hh.ru/vacancy/118203383
Ведущий специалист отдела специальных проверок и специальных исследований,Воентелеком,,"Проведении спецпроверок и специсследований технических средств и оборудования, в соответствии с требованиями нормативно-методических документов. Проведение специальных обследований. ",160000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/118229950
Младший специалист по информационной безопасности,ИТЕРАНЕТ,"Высшее/незаконченное высшее техническое (желательно, профильное, в области информационной безопасности). Знание основ информационной безопасности, требований законодательства и регуляторов. ",Выезды на объекты заказчика (госсектор) для проведения работ по. Защите информации. Внедрение и администрирование средств защиты информации,80000 -  RUR,Нет опыта,https://hh.ru/vacancy/117940684
Специалист по информационной безопасности,Кибертех,,Проведение внутренних и обеспечение внешних аудитов. Отработка найденных дефектов с подразделениями компании,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/118003948
Инженер по информационной безопасности,ПУЛЬС,Высшее профессиональное образование в области кибербезопасности или ИТ в техническом ВУЗе,"Выполнение задач в рамках процесса управления доступами, включая регулярный аудит доступов в соответствии с ВНД Компании",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/118448112
Junior DevOps-инженер,CUSTIS,"DevOps: Kubernetes, GitLab CI, ELK, Prometheus, Grafana, Nexus, Ansible, PostgreSQL, Jagger, Sentry, Python",,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/117833813
Системный инженер,Career manager,Знание серверных ОС Windows (2016-2022)/Linux (Debian/Ubuntu) на уровне администратора. Глубоко разбираться в базовых инфраструктурных сервисах. ,Работа на втором уровне технической поддержки по эксплуатации серверного оборудования. Поддержка серверной инфраструктуры клиентов компании,150000 - 220000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/118299897
Старший специалист-аналитик Службы безопасности,Банк Мир Привилегий,Высшее образование (экономическое или юридическое). Опыт работы в экономической безопасности по направлению аналитики данных от 2 лет,"Поиск, систематизация и анализ больших объемов информации в специализированных БД и в открытых источниках",140000 - 140000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117026689
Сетевой инженер,BeRecruited,,"Администрирование сетевого оборудования: маршрутизаторы, коммутаторы (cisco, huawei), межсетевой экран (опыт работы с Checkpoint, как преимущество)",150000 - 220000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117650081
Руководитель службы безопасности (IT),IT-hunters,Опыт работы в области внутренней безопасности от 5 лет,"Разработка и внедрение политик внутренней безопасности, включая защиту информации и регламентацию процессов",600000 -  RUR,Более 6 лет,https://hh.ru/vacancy/117649037
DevOps-инженер,LH Marketing,"Опыт работы с контейнеризацией приложений, предпочтительно с использованием Docker. Знание и опыт настройки CI/CD процессов на базе GitLab. ",Контейнеризация существующих приложений. Разработка и настройка CI/CD процессов на базе GitLab. Поддержка существующей инфраструктуры и проектирование новых сервисов. ,2000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117955710
Devops инженер,eXpress,Опыт работы DevOps инженером от 3-х лет. Уверенные знания linux,Создавать и эксплуатировать среды от тестирования до продакшена. Настраивать высокодоступные и высоконагруженные системы. Заниматься автоматизация процессов сборки и деплоя. ,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/118424297
DevOps-инженер,Форвард,"Docker, Docker Compose, Docker SWARM, K8S. Jenkins, GitLab CI. FusionAuth, Keycloak. Zabbix, Grafana (Victoria Metrics, Mimir, Loki, Tempo). ",Автоматизация процессов развертывания и конфигурации программного обеспечения. Управление системами контроля версий и конфигураций,250000 - 300000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/117948875
Системный администратор Network,ICL Services,"Знание сетевых технологий на уровне, описанном в курсе Cisco CCNA. Наличие сертификата не обязательно, но будет плюсом",,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/118445103
Начинающий специалист по защите информации / Инженер по информационной безопасности,Крипто-Сервис,Высшее техническое образование или колледж (в области информационной безопасности),Проведение аудита ИТ-инфраструктуры Заказчика. Подготовка технических решений систем защиты ИС Заказчика. Разработка проектной документации,70000 -  RUR,Нет опыта,https://hh.ru/vacancy/118257458
Начальник отдела по защите государственной тайны,ФГБУ Росгеолфонд,Высшее профессиональное (техническое) образование и стаж работы в режимно-секретных органах не менее 3 лет,"Ведение секретного делопроизводства в полном объёме (учёт, регистрация, хранение, уничтожение секретных документов и пр.)",117504 - 186048 RUR,От 3 до 6 лет,https://hh.ru/vacancy/118209449
Специалист мониторинга и реагирования (ИБ),Рунити,Понимание основ ИБ,Выявление и анализ инцидентов ИБ с использованием SIEM и других инструментов мониторинга. Реагирование на инциденты ИБ,Не указана,Нет опыта,https://hh.ru/vacancy/117739094
Специалист ИТСО,ВЕКТОР ЛСР,Релевантный опыт работы от 2-х лет. Готовность к длительным командировкам,"1. Выполнение работ по обслуживанию СКУД, ТСО и систем видеонаблюдения. 2. Контроль работы и ремонт СКУД, ТСО и систем видеонаблюдения. ",100000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/118259028
Аналитик центра мониторинга и реагирования на инциденты,"Росводоканал,ООО","Знание основ сетевых технологий, понимание работы и основных операционных систем (Windows, Linux)",Выстраивание процессов работы SOC. Разбор инцидентов. Написание playbook.,212000 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/118304569
DevOps Engineer / SRE,Mindbox,"В инфраструктурную команду ищем начинающего SRE, который хочет быстро вырасти","Дежурства on-call по 2 суток, в ротации 11 человек и нанимаем еще",140000 - 230000 RUR,Нет опыта,https://hh.ru/vacancy/118362469
Руководитель отдела информационной безопасности,Консоль.Про,,,500000 -  RUR,Более 6 лет,https://hh.ru/vacancy/116509092
DevOps-инженер,Info Air,Опыт работы с Grafana. Опыт работы c CI/CD инструментами. Опыт работы с бекапированием. Опыт администрирования БД,Мониторинг ресурсов серверов. Администрирование системы резервного копирования. Настройка Web-серверов. Настройка почтовых серверов. Поднятие реплик БД. Настройка CI/CD. ,500 USD,От 3 до 6 лет,https://hh.ru/vacancy/118083768
Руководитель отдела информационной безопасности,Группа Компаний «СУ-555»,"Знаешь стек TCP/IP, DNS, DHCP, VLAN, VPN (IPSec, SSL) как свои пять пальцев","Стать архитектором безопасности: проектировать и внедрять стратегию защиты сети, серверов и данных",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/118336340
Стажёр ИБ / Стажер по информационной безопасности,Элвис-Плюс,Желание работать и развиваться в сфере ИБ. Теоретические знания в сфере ИБ. Базовые знания угроз в сфере ИБ. ,Участвовать в проведении обследований и аудитов по реализации требований ИБ,Не указана,Нет опыта,https://hh.ru/vacancy/117783042
Специалист технической поддержки / дежурный инженер,Атмосферика,,"Что надо будет делать? Ну, вкратце: Общение: С московскими клиентами, у которых, как ты уже понял, ночь",3000 - 3000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117777381
DevOps Engineer,BrainShells,Опыт работы на позиции DevOps не менее 3х лет. Хорошее знание Linux. Опыт эксплуатации облачной инфраструктуры AWS. ,"Создание и поддержка скриптов для развертывания сервисных окружений. Автоматизация сборки, тестирования и доставки на dev/stage/prod",3500 - 4000 USD,От 3 до 6 лет,https://hh.ru/vacancy/118425086
Младший сетевой инженер - стажёр,Инфосистемы Джет,,"Параллельно с виртуальными задачами вы будете выполнять учебные задания на реальном оборудовании cisco, huawei, qtech",Не указана,Нет опыта,https://hh.ru/vacancy/118074588
Младший аналитик SOC,Angara Security,"Понимание современных видов угроз ИБ и способов защиты. Понимание принципов сетевых технологий (модель OSI, DNS, DHCP, NAT, Proxy, VPN). ",Выявление и управление инцидентами информационной безопасности (ИБ). Анализ журналов событий СЗИ (средств защиты информации) и ИС (информационных систем). ,Не указана,Нет опыта,https://hh.ru/vacancy/117184996
DevOps инженер,CtrlHack,,Разрабатывать и внедрять автоматизированные процессы для CI/CD,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/118243883
Сетевой инженер,Бизнес-Азимут,,"На проекте предстоит выполнять следующие задачи: - Поддержка и обеспечение бесперебойной работы 24х7. - Решение инцидентов, связанных с работоспособностью системы. - ",200000 - 270000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/118051412
Специалист по информационной безопасности (Стажёр),Политехнический музей,Опыт подготовки проектов организационно-распорядительной документации. Знание Федерального закона РФ от 27.07.2006 г.  152 «О персональных данных». ,Защита ПДн. Аудит информационной безопасности. Участие в построении системы управления информационной безопасностью. Участие в проектировании и внедрении технических решений. ,Не указана,Нет опыта,https://hh.ru/vacancy/118246285
Руководитель департамента информационной безопасности,Страховая группа МАКС,"Высшее образование (информационная безопасность, либо ИТ+переподготовка по ИБ не менее 512 часов)",Организация и планирование работы департамента. Обеспечение своевременного выявления и нейтрализации угроз информационной безопасности в информационной инфраструктуре,380000 - 380000 RUR,Более 6 лет,https://hh.ru/vacancy/118111680
DevOps (стажер) Рекомендательная система,СБЕР,"Понимание работы Kubernetes и основных ресурсов. Опыт работы с Jenkins. Опыт работы с Git. Знание Docker, Docker Compose. ",Разработка и поддержка скриптов CI/CD Jenkins/Gitlab. Разработка и интеграция инфраструктурных решений. Проведение пилотов и MVP различного функционала. ,Не указана,Нет опыта,https://hh.ru/vacancy/118432483
Инженер программных решений / DevOps,iCore (Integration Core),,"Цели в работе на этой должности: оказание услуг заказчикам по реализации и поддержке программных решений, проекты и сервис. ",120000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117930428
DevOps-инженер,IT2G,Опыт работы на позиции DevOps не менее 2-х лет. Уверенные навыки администрирования Linux,"Микросервисы - Java, Kotlin, NodeJs, DotNet, Python. Брокеры очередей - RabbitMQ, ActiveMQ. Логирование - ELK/EFK, Graylog, Grafana/Loki",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/117620467
Специалист по тестированию на проникновение (Pentester),MobileUp,"Знание ОС Windows и Linux, а также технологий виртуализации.​. Понимание сетевых технологий, модели OSI и принципов IP-маршрутизации.​. ",,200000 - 350000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/118247230
Аналитик по информационной безопасности,Код Безопасности,"Знание принципов и технологий построения корпоративной системы информационной безопасности. Навыки администрирования ОС Windows, Linux (Debian, Ubuntu, CentOS, Astra Linux). ",Разработка мер практической безопасности внутри компании. Мониторинг состояния защищенности и анализ уязвимостей в локальной сети,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/117942723
Инженер по сопровождению,"Крипто-Про, Компания","Высшее образование. Опыт установки, настройки и администрирования операционных систем Windows, Unix, Mac",Техническое сопровождение проектов на базе продуктов КриптоПро у крупных заказчиков Компании,120000 - 160000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117492523
SRE Team Lead,Вовнянко Олеся Викторовна,"Опыт работы с Kubernetes в продакшене (3+ года), предпочтительно на Bare Metal","Руководство командой SRE/DevOps. Планирование задач, формирование roadmap по развитию инфраструктуры. Координация с разработчиками, QA и отделом безопасности. ",5000 - 7000 USD,От 3 до 6 лет,https://hh.ru/vacancy/118358591
DevOps Engineer,ICVR,"Уверенная работа с ОС Linux (Debian/Ubuntu), понимание сетевого стека, файловых систем, прав доступа и безопасности",поддерживать и развивать инфраструктуру компании. — выстраивать CI/CD процессы. — обеспечивать мониторинг и бесперебойную поддержку решения для наших заказчиков. — ,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/118436790
Инженер по инфраструктуре,КБ Соколовский,"Администрирование OC Linux (OC Ubuhtu (Debian) или Astra Linex, Rocky Linex (RHEL, CentOS))",Построить отказоустойчивые масштабируемые решения с балансировкой нагрузки. Внедрять и поддерживать облачные инфраструктуры компании. Подготавливать системное окружение необходимое для разработки. ,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/118436921
Linux инженер,Finist Lab,Принимать участие в выборе архитектурных решений для улучшения процессов эксплуатации. Исследовать новые технологии и лучшие практики в IT сфере. ,Управлять конфигурациями с помощь Ansible. Автоматизировать развертывание инфраструктуры с помощью Terraform на гипервизорах VMware vSphere,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/118154909
Менеджер по охране труда и пожарной безопасности Lucky Group,Lucky Group,"Высшее профильное образование (техносферная безопасность, охрана труда или аналогичное)",Разрабатывать и внедрять систему охраны труда и пожарной безопасности в ресторанах группы. Контролировать соблюдение требований ОТ и ПБ. ,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/118130679
